0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/lib/js/select2.full.min.js HTTP/1.1" 200 73227
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/lib/js/ace/ace.js HTTP/1.1" 200 644238
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/lib/js/ace/mode-html.js HTTP/1.1" 200 114588
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/js/app.js HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/lib/js/ace/theme-github.js HTTP/1.1" 200 2454
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/UploadB HTTP/1.1" 200 20074
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/lib/js/dataTables.bootstrap.min.js HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:21 +0800] "GET /nm/manage/js/index.js HTTP/1.1" 200 4530
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:24 +0800] "GET /nm/m_resoure HTTP/1.1" 200 36750
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:24 +0800] "GET /nm/manage/iconfont/iconfont.css HTTP/1.1" 200 6638
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:24 +0800] "GET /nm/manage/lib/images/sort_both.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:24 +0800] "GET /nm/manage/lib/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:24 +0800] "GET /nm/manage/lib/images/sort_asc.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:28 +0800] "GET /nm/delect_r?delete_id=2265 HTTP/1.1" 200 35177
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:28 +0800] "GET /nm/manage/lib/images/sort_both.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:28 +0800] "GET /nm/manage/lib/images/sort_asc.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:31 +0800] "GET /nm/delect_r?delete_id=2264 HTTP/1.1" 200 33616
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:31 +0800] "GET /nm/manage/lib/images/sort_both.png HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:31 +0800] "GET /nm/manage/lib/images/sort_asc.png HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:33 +0800] "GET /nm/MainController HTTP/1.1" 200 24136
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:34 +0800] "GET /nm/upload/E-R.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:34 +0800] "GET /nm/upload/web%E7%95%8C%E9%9D%A2%E6%88%AA%E5%9B%BE.png HTTP/1.1" 404 1135
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:34 +0800] "GET /nm/upload/1.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:34 +0800] "GET /nm/HeaderController HTTP/1.1" 200 5560
0:0:0:0:0:0:0:1 - - [29/Dec/2019:21:19:48 +0800] "GET /nm/MenuServlet1 HTTP/1.1" 200 10851
